,Mean,25th,50th,75th
0,131.56244588744588,65.0,99.0,150.0
1,140.57069645514017,65.0,99.0,160.0
2,146.7164242639234,68.0,100.0,174.0
3,147.50007098239635,68.0,102.0,175.0
4,142.47471525119335,65.0,100.0,168.0
5,142.19637248187422,65.0,100.0,165.0
6,142.37523616096732,65.0,100.0,165.0
7,142.28757150286012,65.0,100.0,167.0
8,143.12122931442082,65.0,100.0,169.0
9,148.33020073856642,69.0,104.0,175.0
10,148.87898375716247,69.0,105.0,175.0
11,143.42071541716908,65.0,100.0,169.0
12,142.60245775729646,65.0,100.0,165.0
13,142.5538777825039,65.0,100.0,165.0
14,142.7405034865855,65.0,100.0,166.0
15,143.3592774730471,65.0,100.0,169.0
16,148.71137364458545,69.0,105.0,175.0
17,149.20366555374014,69.0,105.0,175.0
18,143.99035324159456,66.0,100.0,169.0
19,143.14151991490368,65.0,100.0,169.0
20,143.16504739616576,65.0,100.0,169.0
21,143.2933708449572,65.0,100.0,169.0
22,143.8418227393114,65.0,100.0,169.0
23,148.6837805195728,69.0,105.0,175.0
24,148.9057881773399,69.0,105.0,175.0
25,143.7608798486282,65.0,100.0,169.0
26,144.2945461425666,65.0,100.0,170.0
27,144.37006291093135,65.0,100.0,170.0
28,144.56463630987582,65.0,100.0,170.0
29,145.1223886246954,66.0,100.0,171.0
30,150.06261697742187,69.0,105.0,179.0
31,150.27562431881722,69.0,105.0,179.0
32,145.20932213415355,66.0,100.0,172.0
33,144.7552627844269,66.0,100.0,170.0
34,144.73958086948295,66.0,100.0,170.0
35,144.98022612233314,66.0,100.0,170.0
36,145.70058194549583,67.0,100.0,174.25
37,150.79445628997868,69.0,105.0,179.0
38,151.32438515850828,69.0,105.0,179.0
39,146.20813419770028,67.0,100.0,175.0
40,145.32015894415667,66.0,100.0,171.0
41,145.3312992265664,66.0,100.0,170.0
42,145.59702904721354,67.0,100.0,172.0
43,146.08347727326503,67.0,100.0,175.0
44,150.8307225632154,69.0,105.0,179.0
45,151.02369949046096,69.0,105.0,179.0
46,146.0686513477057,67.0,100.0,175.0
47,145.33347524775894,66.0,100.0,170.0
